item,category,subcategory,variants,pairings,portion,packing_notes,allergens,diet_tags,default_weekly_limit
Sliced bread,Bases,Bread,Whole wheat / spelt,"Cheese, egg, avocado, turkey",2 slices,Cut diagonally for small hands,Gluten,Vegetarian option,
Mini roll,Bases,Bread,Whole wheat,Cream cheese,1 mini,Wrap in parchment,Gluten,Vegetarian,
Tortilla,Bases,Flatbread,Whole wheat / corn,"Turkey + veggies, cheese",1 small,Roll and cut into pinwheels,Gluten (wheat) / may be GF (corn),Vegetarian option,
Whole‑grain crackers,Bases,Crackers,Plain,cottage cheese,6–8 pieces,Small container,Gluten,Vegetarian,
Mini bagel,Bases,Bread,Plain / whole wheat,"Cream cheese, labneh",1 mini,Pre-slice,"Gluten, Dairy (if with spread)",Vegetarian,
Hard‑boiled egg,Proteins,Eggs,Plain / with pinch of salt,"Veggie sticks, bread",1 egg,Peel at home; pack in small box,Eggs,Vegetarian,
Egg omelette strips,Proteins,Eggs,Plain / herbs,"Tortilla, veggies",1 small omelette,Cool before packing,Eggs,Vegetarian,
Turkey slices,Proteins,Poultry,Low‑sodium,"Bread, veggies",2–3 slices,Roll into pinwheels,None (check additives),Meat,2–3x/week
Chicken schnitzel strips (baked),Proteins,Poultry,"Baked, not fried","Veggies, pita",2–3 strips,Paper towel to absorb moisture,"Gluten, Egg (breading)",Meat,1–2x/week
Roasted chickpeas (homemade),Proteins,Legumes,Lightly salted,Fruit,1/3 cup,"Dry, room temp",None,"Vegan, GF",
Cheese slices,Proteins,Dairy,Yellow/Edam/Gouda,"Bread, crackers",1–2 slices,Wax paper,Dairy,Vegetarian,
String cheese,Proteins,Dairy,Low‑salt,Fruit,1 stick,Keep cool,Dairy,Vegetarian,
Cottage cheese,Proteins,Dairy,3–5%,"Crackers, veggies",3–4 tbsp,Small container + spoon,Dairy,Vegetarian,
Labneh,Proteins,Dairy,Plain,"Pita, olive, cucumber",2–3 tbsp,Dip cup + spoon,Dairy,Vegetarian,
Almond butter,Proteins,Nut butter,Smooth,"Rice cakes, banana",1–2 tbsp,Check school nut policy,Tree nuts,"Vegetarian, GF",Up to policy
Sunflower seed butter,Proteins,Seed butter,Smooth,"Crackers, apple",1–2 tbsp,Nut‑free alternative,Seeds (rare),"Vegan, Nut‑free",
Apple slices,Fruits,Fresh,With lemon to prevent browning,cheese,1 small apple,Rub with lemon; pack tight,None,"Vegan, GF",
Banana,Fruits,Fresh,,"Almond butter, crackers",1 small,Do not overpack,None,"Vegan, GF",
Grapes,Fruits,Fresh,"Red/green, halved if needed",Cheese,10–15,Dry after rinse,None,"Vegan, GF",
Clementine,Fruits,Fresh,Peel ahead if preferred,Crackers,1–2,Score peel for easy open,None,"Vegan, GF",
Pear slices,Fruits,Fresh,Firm,Cottage cheese,1 small,Lemon to prevent browning,None,"Vegan, GF",
Strawberries,Fruits,Fresh,Halved,Yogurt,5–6,Dry well to avoid leaks,None,"Vegan, GF",
Blueberries,Fruits,Fresh,,"Yogurt, granola",1/3 cup,Rigid cup,None,"Vegan, GF",
Melon cubes,Fruits,Fresh,Galia/Cantaloupe,Cheese,1/2 cup,Drain excess juice,None,"Vegan, GF",
Pineapple chunks,Fruits,Fresh,Fresh only,Cottage,1/3 cup,Drain juice,None,"Vegan, GF",
Dates (Medjool),Fruits,Dried,Pitted,,1–2,Small compartment,None,"Vegan, GF",2x/week
Cucumber sticks,Veggies,Fresh,Persian cucumbers,labneh,4–6 sticks,Paper towel to keep crisp,None,"Vegan, GF",
Cherry tomatoes,Veggies,Fresh,,"Cheese, crackers",6–8,Whole to avoid leaks,None,"Vegan, GF",
Carrot sticks,Veggies,Fresh,,,6–8 sticks,Peel if needed,None,"Vegan, GF",
Bell pepper strips,Veggies,Fresh,Red/yellow,Labneh,6–8 strips,Dry after rinse,None,"Vegan, GF",
Sugar snap peas,Veggies,Fresh,,,8–10 pods,Pat dry,None,"Vegan, GF",
Olives (pitted),Veggies,Pickled,Green/black,"Pita, cheese",6–8,Small sealed cup,None,"Vegan, GF",
Pickle spears,Veggies,Pickled,,Sandwich,2 spears,Drain brine,None,"Vegan, GF",
Plain yogurt cup,Dairy,Yogurt,3% / Greek,"Fruit, granola (separate)",1 small cup,Spoon + cold pack,Dairy,"Vegetarian, GF",
